R2 p
ENSG00000136160 0.320889131776099 3.31598253660026e-05
ENSG00000109016 0.320779464934425 3.32855781119967e-05
ENSG00000115109 0.320725371672341 3.33477746485844e-05
ENSG00000000938 0.320581539155869 3.35136980946782e-05
ENSG00000197635 0.320461768331279 3.36524702251317e-05
ENSG00000186205 0.320157832752344 3.40071109798945e-05
ENSG00000138030 0.320066454045473 3.41144356299505e-05
ENSG00000133424 0.319128696022617 3.52348418199977e-05
ENSG00000116574 0.318972958583421 3.54243087010708e-05
ENSG00000108852 0.31873336914374 3.57177040113399e-05
ENSG00000126266 0.318471630320115 3.60408956849856e-05
ENSG00000176485 0.317953784302752 3.66886378624365e-05
ENSG00000171729 0.317714976088867 3.69911097264364e-05
ENSG00000154059 0.317508805849585 3.72541718769437e-05
ENSG00000162337 0.317134201243784 3.77367621995361e-05
ENSG00000162594 0.316972978259355 3.7946307227088e-05
ENSG00000132530 0.3169468021091 3.79804344432522e-05
ENSG00000165983 0.316905757100334 3.80340064536355e-05
ENSG00000159733 0.316591747866636 3.84462652474049e-05
ENSG00000138795 0.316431510398335 3.86582930389512e-05
ENSG00000026025 0.316247867905284 3.89026747313892e-05
ENSG00000103855 0.316219492344335 3.89405678056232e-05
ENSG00000163687 0.316188405112892 3.89821228594656e-05
ENSG00000111424 0.315907677543249 3.93593163010575e-05
ENSG00000198185 0.315820234372945 3.9477523228193e-05
ENSG00000205189 0.315819486704438 3.94785354089766e-05
ENSG00000105974 0.315409186032685 4.00377780240824e-05
ENSG00000172927 0.3148651342209 4.07910941850886e-05
ENSG00000075643 0.314765540953508 4.09304644444219e-05
ENSG00000149573 0.314664731698832 4.10720030954437e-05
ENSG00000011132 0.314520307856742 4.12755989460667e-05
ENSG00000108602 0.314500816754546 4.13031500534622e-05
ENSG00000104447 0.314331607986558 4.15430754947543e-05
ENSG00000184408 0.314159404479195 4.17886244141741e-05
ENSG00000158106 0.313923353448958 4.21274861568399e-05
ENSG00000133789 0.313868683897326 4.22063431360087e-05
ENSG00000111057 0.313706811758291 4.24406664203403e-05
ENSG00000180574 0.313659210603875 4.25098109642086e-05
ENSG00000198189 0.313646051963466 4.25289440819654e-05
ENSG00000186907 0.313593532519076 4.26053917748082e-05
ENSG00000130449 0.313574758103322 4.263275203642e-05
ENSG00000101605 0.313499061340668 4.27432378351522e-05
ENSG00000145555 0.31347111397043 4.27840990018247e-05
ENSG00000160539 0.313420694481414 4.28579112363714e-05
ENSG00000076351 0.313300441198372 4.30344527044824e-05
ENSG00000071967 0.313236505607145 4.31286001152387e-05
ENSG00000136111 0.31296276816278 4.35339346904762e-05
ENSG00000115457 0.312947343519913 4.35568834173949e-05
ENSG00000100376 0.312882998517065 4.3652741357203e-05
ENSG00000145908 0.312873369195221 4.36671040939807e-05
ENSG00000117020 0.31278691862935 4.37962544510562e-05
ENSG00000134575 0.312679392345286 4.39574034509782e-05
ENSG00000103089 0.312625473649672 4.40384258117987e-05
ENSG00000161055 0.312413736790276 4.43579908664393e-05
ENSG00000178403 0.312291585020267 4.45433633209369e-05
ENSG00000185339 0.312106561655401 4.48255681588794e-05
ENSG00000162174 0.312065878252652 4.48878505068251e-05
ENSG00000130517 0.311764759323697 4.53514316935966e-05
ENSG00000116133 0.311624951871997 4.55682327911155e-05
ENSG00000171115 0.311465886079619 4.58161114746947e-05
ENSG00000137269 0.311430658566596 4.58711832558301e-05
ENSG00000180573 0.311430264463823 4.58717997240399e-05
ENSG00000141469 0.311350625977437 4.59965365546822e-05
ENSG00000188707 0.311235266662601 4.61778017686321e-05
ENSG00000188389 0.311097743881071 4.63947913460494e-05
ENSG00000183474 0.311068472298734 4.64411038962886e-05
ENSG00000101335 0.311002696550136 4.65453345914746e-05
ENSG00000060656 0.311001095879104 4.65478738791436e-05
ENSG00000126467 0.31078454793841 4.68926355683408e-05
ENSG00000105270 0.310346268702435 4.75979499372503e-05
ENSG00000164307 0.309975939187838 4.82018653025218e-05
ENSG00000187796 0.309953704071016 4.82383590514335e-05
ENSG00000072163 0.309754108098128 4.8567142573841e-05
ENSG00000188747 0.309679751623231 4.86901766665326e-05
ENSG00000175029 0.309369363803047 4.92070091278052e-05
ENSG00000181019 0.309155446831961 4.95662765391813e-05
ENSG00000135363 0.30892441613822 4.99571224483741e-05
ENSG00000164983 0.308773869340463 5.02134048683267e-05
ENSG00000136026 0.308683731206339 5.03674563496759e-05
ENSG00000196839 0.308540226391082 5.06136540743274e-05
ENSG00000100336 0.308353365559488 5.09359708598112e-05
ENSG00000145284 0.30821653916605 5.11732355676919e-05
ENSG00000184489 0.308214495825961 5.11767868869306e-05
ENSG00000051620 0.308106020294583 5.13656581317967e-05
ENSG00000165985 0.307866261898715 5.17854955206509e-05
ENSG00000141179 0.307783838396416 5.19305878192711e-05
ENSG00000131016 0.307729408762497 5.20266162720162e-05
ENSG00000179455 0.307708002194892 5.20644300183726e-05
ENSG00000130768 0.306928755570565 5.34590937850687e-05
ENSG00000197921 0.306849016219212 5.36038201190969e-05
